id	author
420	Elle Kennedy
421	Becky Albertalli
422	Sam Garton
423	Peter V. Brett
424	Bill Baldwin
425	Elmira Bayrasli
426	Marc Robertson
427	Tove Alsterdal
428	Robin Reul
429	Samuel Bjork
430	Emma Haughton
431	Sarah Raughley
432	Nicole Allen
433	Tricia Tighe
434	Elisa Dane
435	Laura Diamond
436	Kimmie Easley
437	Julie Ann Walker
438	Ali Novak
439	Beth Cato
440	Szilvia Molnar
441	Helen Grace
442	Mark Greif
443	Marnie Galloway
444	Marta Elva
445	Flannery
446	Debut
447	Emma Donoghue
448	Martin
449	Juliana Stone
450	One Pagan
451	Barry
452	Georgia Hunter
453	Lucy Parker
454	Ellen Notbohm
455	Helen Simonson
456	Henry Gee
457	Malka Marom
458	Neil Peart
459	Barbara Coloroso
460	Brandi Dougherty
461	Warner Bros.-Hollywood
462	Dolores Redondo
463	Maggie Toussaint
464	Finbarr Livesey
465	Amy Jones
466	Monica Murphy
467	Pura Belpre
468	Mainak Dhar
469	Brooke James
470	Nicole Kear
471	Tara Sivec
472	Madeline Sheehan
473	Nell Zink
474	Jonas Hassen Khemiri
475	Nina MacLaughlin
476	Carter Wilson
477	Echo Bodine
478	Lama Surya Das
479	Jersey Cory Booker
480	Libby McGuire
481	Vincent Zandri
482	John Robinson
483	Shelly Miller
484	Dana Mentink
485	Kenneth Lamug
486	Sylvie Rosokoff
487	Scott Reardon
488	Amy Krouse Rosenthal
489	Carolyn Marino
490	Tessa Arlen
491	Amy Alkon
492	Julie Murphy
493	Mary McCarthy
494	Chris Barton
495	Eduardo Berti
496	Mason Williams
497	Pablo Martn Sanchez
498	Lisa Alber
499	Erin McGhee Petti
500	Paul Oyer
501	Kelly Siskind
502	Matter
503	Bromberg
504	Sarah Brannen
505	Seth Merrin
506	Todd Outcalt
507	Michelle Cuevas
508	Ellen Kirschman
509	Richard Koreto
510	Beverly Jones
511	Daria Song
512	Mark Bego
513	Tamara Mataya
514	Alison McGhee
515	Ally Condie
516	Mussolini
517	Teju Cole
518	Harrison
519	Margaret Doody
520	Doodle Diary
521	James Beard
522	Stacie Ramey
523	Richelle Mead
524	RS Grey
525	Tara Sivec
526	Samantha Towle
527	Tijan
528	Mary McCarthy
529	Craig Parshall
530	Joe Flanagan
531	Beth Harbison
532	Guadalupe Garcia McCall
533	Derek Turner
534	Jenny Han
535	Shelley Shepard Gray
536	Joe Pappalardo
537	Lori McNulty
538	Chester Brown
539	Tamaki
540	Heroes
541	John Oller
542	Joseph Wheelan
543	John Wukovits
544	Tom Leveen
545	Lois McMaster Bujold
546	Mary Volmer
547	Posner
548	Charles Fishman
549	Phyllis Chesler
550	Cheat Sheet
551	Rizvi
552	Brad Abraham
553	Jason Kirschner
554	Damon Suede
555	Bacon Freak
556	Barbara Streisand
557	Amanda Little
558	Tim Samuels
559	Dorte Hansen
560	Hedda Sanders
561	Lois Brandt
562	Lee
563	Sean Rabin
564	Daisy Styles
565	Jason Buchholz
566	Jonathan Alderfer
567	Yasmine Galenorn
568	Julia Walton
569	Albatros
570	Kristin Hannah
571	Emery Lord
572	La Nouvelle Agence
573	Maggie Robinson
574	Stephanie Dray
575	Ella Barrick
576	Alex Jack
577	Mike Brooks
578	Amanda Weaver
579	Jim Richards
580	David Jacob
581	Federico Axat
582	Beth Wareham
583	Josh Funk
584	Saeed Jones
585	Eliza Wheeler
586	Daryl Sanders
587	Larry Watson
588	Brain Lee Durfee
589	Owner
590	Susanna Fogel
591	Peter Joseph
592	Bill Clinton
593	History
594	Arthur Ellis Unhanged Arthur Award
595	Nidhi Chanani
596	Jeffrey Marsh
597	None
598	Hallgrimur Helgason
599	Whitney William
600	Cora Brent
601	Helena Hunting
602	Arthur Browne
603	Yasmine Galenorn
604	Lucy Keating
605	Nancy Paulsen
606	Gary Craig
607	John Bicknell
608	Michael Benson
609	Neil Peart
610	Einstein Bruce Hillman
611	Ensley Guuffy
612	Walter Dean Myers
613	Walter Dean Myers
614	Joey Comeau
615	Walter Tevis
616	Hazel Dixon-Cooper
617	Keidi Keating
618	Margaret Cheney
619	Mark Cohen
620	Nicky Epstein
621	Joe Schwarcz
622	K.A. Mitchell
623	Skye Jordan
624	Thomas Hegghammer
625	Emma Reyes
626	Sergey Lukianenko
627	Albatros
628	Diane Chamberlain
629	Catherine Lowell
630	Tosca Lee
631	Cassie Beasley
632	Sari Luhtanen
633	Mia Thompson
634	Alice Pung
635	Amy Koko
636	Leonard Goldberg
637	Sergio Ruzzier
638	Tara Lain
639	Charles Casillo
640	Tom Ryan
