509	Annie Jacobsen
510	Annie Kirkwood
511	Annie Lawless
512	Annie Leibovitz
513	Annie Pigeon
514	Annie Proulx
515	Annie Rains
516	Annie West
517	Anonymous
518	Anonymous (aka Joe K
519	Anthea Sharp
520	Anthony Bourdain
521	Anthony Bourke
522	Anthony DeStefano
523	Anthony Doerr
524	Anthony Flynn
525	Anthony Grey
526	Anthony Holden
527	Anthony Horowitz
528	Anthony K. Tjan
529	Anthony Kiedis with
530	Anthony Robbins
531	Anthony Ryan
532	Anthony Shaffer
533	Anthony Summers
534	Anthony Summers
535	Anthony Swofford
536	Anthony William
537	Antoine de Saint-Exupéry
538	Antoinette Stockenbe
539	Antoinette Stockenberg
540	Antoinette van Heugt
541	Anton DiSclafani
542	Anton Myrer
543	Antonia Fraser
544	Antonio Garcia Martinez
545	Antonio J. Mendez
546	Antonio Mendez
547	Antwone Q Fisher and
548	Aphrodite Jones
549	April Smith
550	Aprilynne Pike
551	Aravind Adiga
552	Aretha Franklin and
553	Ari Shavit
554	Arianna Huffington
555	Arianne Richmonde
556	Arlene Eisenberg
557	Arlene James
558	Armistead Maupin
559	Arnette Lamb
560	Arnold Palmer
561	Arnold Schwarzenegger
562	Aron Ralston
563	Art Buchwald
564	Art Smith
565	Art Spiegelman
566	Art Ulene
567	Art by Bettina Patte
568	Art by Bob Roper
569	Arthur Agatston
570	Arthur Agatston
571	Arthur B. Laffer
572	Arthur C. Brooks
573	Arthur C. Clarke
574	Arthur C. Clarke
575	Arthur Conan Doyle
576	Arthur Golden
577	Arthur Hailey
578	Arthur Herman
579	Arthur Levitt
580	Arthur Miller
581	Arthur Phillips
582	Arthur T. Vanderbilt
583	Artie Lange
584	Artie Lange
585	Arundhati Roy
586	Asa Andrew
587	Ashely JaQuavis
588	Ashlee Mallory
589	Ashlee Vance
590	Ashley & JaQuavis
591	Ashley Antoinette
592	Ashley Farley
593	Ashley Gardner
594	Ashley Gardner
595	Ashley JaQuavis
596	Ashley Judd
597	Ashley Smith
598	Ashlyn Macnamara
599	Atkins Health &amp
600	Attica Locke
601	Atul Gawande
602	Aubrey Rose
603	Audra Adams
604	Audrey Carlan
605	Audrey Carlan
606	Audrey Niffenegger
607	Audrey Penn
608	Audrey Penn
609	Audrey Ricker
610	Augusten Burroughs
611	Aurora Rose Reynolds
612	Austin Kleon
613	Austin Wright
614	Autumn Kalquist
615	Ava Miles
616	Avery Aster
617	Avery Krut
618	Ayaan Hirsi Ali
619	Ayana Mathis
620	Ayesha Curry
621	Ayn Rand
622	Azar Nafisi
623	Aziz Ansari
624	B.A. Paris
625	B.A. Shapiro
626	B.B. King
627	B.G. Hennessy
628	B.J. Daniels
629	B.J. James
630	B.J. Novak
631	BJ Harvey
632	BP Team of Experts o
633	Babe Walker
634	Bailey White
635	Baine Kerr
636	Balogh,  Harper
637	Balogh,  Heath
638	Balogh,  Heath
639	Balogh,  Layton
640	Balogh,  O’Banyon
641	Barack Obama
642	Barack Obama
643	Barb and J.C. Hendee
644	Barbara Bickmore
645	Barbara Boswell
646	Barbara Bretton
647	Barbara Bush
648	Barbara Coloroso
649	Barbara Dawson Smith
650	Barbara DeAngelis
651	Barbara Delinsky
652	Barbara Delinsky
653	Barbara Delinsky/Kel
654	Barbara Dunlop
655	Barbara Ehrenreich
656	Barbara Feethy
657	Barbara Freethy
658	Barbara Hambly
659	Barbara Keesling
660	Barbara Kingsolver
661	Barbara Kingsolver
662	Barbara Leaming
663	Barbara McMahon
664	Barbara Michaels
665	Barbara Olson
666	Barbara Park
667	Barbara Park
668	Barbara Park
669	Barbara Parker
670	Barbara Quick
671	Barbara Robinson
672	Barbara Rolls
673	Barbara Shangle
674	Barbara Sher
675	Barbara Sher
676	Barbara Sinatra
677	Barbara Taylor Bradf
678	Barbara Taylor Bradford
679	Barbara Vine
680	Barbara Walters
681	Barbara Williams
682	Barbra Streisand
683	Baron Baptiste
684	Barry Eisler
685	Barry Elz
686	Barry Lyga
687	Barry Miles
688	Barry Reed
689	Barry Sears
690	Barry Sears
691	Barry Siegel
692	Bart D. Ehrman
693	Bart Ehrman
694	Barton Gellman
695	Baseball Prospectus
696	Based on the charact
