x_id	y_id	prob	x_name	y_name
556	646	0.9845	barbara streisand	barbara bretton
163	647	0.9712	barbara lowell	barbara bush
270	647	0.9128	barbara j zitwer	barbara bush
459	647	0.9893	barbara coloroso	barbara bush
556	647	0.983	barbara streisand	barbara bush
765	647	0.9893	barbara coloroso	barbara bush
459	648	1.0	barbara coloroso	barbara coloroso
765	648	1.0	barbara coloroso	barbara coloroso
163	648	0.9516	barbara lowell	barbara coloroso
163	650	0.9269	barbara lowell	barbara deangelis
556	650	0.7905	barbara streisand	barbara deangelis
163	651	0.9516	barbara lowell	barbara delinsky
163	652	0.9516	barbara lowell	barbara delinsky
163	653	0.9518	barbara lowell	barbara delinsky/kel
163	654	0.9928	barbara lowell	barbara dunlop
459	654	0.9516	barbara coloroso	barbara dunlop
765	654	0.9516	barbara coloroso	barbara dunlop
163	656	0.8316	barbara lowell	barbara feethy
163	657	0.7711	barbara lowell	barbara freethy
163	658	0.8316	barbara lowell	barbara hambly
556	659	0.9394	barbara streisand	barbara keesling
163	660	0.8893	barbara lowell	barbara kingsolver
270	660	0.8489	barbara j zitwer	barbara kingsolver
459	660	0.8489	barbara coloroso	barbara kingsolver
765	660	0.8489	barbara coloroso	barbara kingsolver
163	661	0.8893	barbara lowell	barbara kingsolver
270	661	0.8489	barbara j zitwer	barbara kingsolver
459	661	0.8489	barbara coloroso	barbara kingsolver
765	661	0.8489	barbara coloroso	barbara kingsolver
163	662	0.9815	barbara lowell	barbara leaming
556	662	0.9845	barbara streisand	barbara leaming
163	663	0.7711	barbara lowell	barbara mcmahon
459	663	0.8252	barbara coloroso	barbara mcmahon
765	663	0.8252	barbara coloroso	barbara mcmahon
127	664	0.9998	brenda michaels	barbara michaels
163	664	0.9516	barbara lowell	barbara michaels
209	664	0.9566	michael breus	barbara michaels
459	664	0.9766	barbara coloroso	barbara michaels
765	664	0.9766	barbara coloroso	barbara michaels
163	665	0.9991	barbara lowell	barbara olson
459	665	1.0	barbara coloroso	barbara olson
556	665	0.9858	barbara streisand	barbara olson
765	665	1.0	barbara coloroso	barbara olson
163	666	0.9712	barbara lowell	barbara park
270	666	0.9893	barbara j zitwer	barbara park
459	666	0.9893	barbara coloroso	barbara park
556	666	0.983	barbara streisand	barbara park
765	666	0.9893	barbara coloroso	barbara park
163	667	0.9712	barbara lowell	barbara park
270	667	0.9893	barbara j zitwer	barbara park
459	667	0.9893	barbara coloroso	barbara park
556	667	0.983	barbara streisand	barbara park
765	667	0.9893	barbara coloroso	barbara park
163	668	0.9712	barbara lowell	barbara park
270	668	0.9893	barbara j zitwer	barbara park
459	668	0.9893	barbara coloroso	barbara park
556	668	0.983	barbara streisand	barbara park
765	668	0.9893	barbara coloroso	barbara park
163	669	0.8316	barbara lowell	barbara parker
270	669	0.9516	barbara j zitwer	barbara parker
556	669	0.9269	barbara streisand	barbara parker
270	670	0.9254	barbara j zitwer	barbara quick
459	670	0.9254	barbara coloroso	barbara quick
556	670	0.8877	barbara streisand	barbara quick
765	670	0.9254	barbara coloroso	barbara quick
482	671	0.986	john robinson	barbara robinson
573	671	0.9527	maggie robinson	barbara robinson
697	671	0.986	mike robinson	barbara robinson
459	671	0.9993	barbara coloroso	barbara robinson
765	671	0.9993	barbara coloroso	barbara robinson
163	672	1.0	barbara lowell	barbara rolls
270	672	0.9254	barbara j zitwer	barbara rolls
459	672	0.9998	barbara coloroso	barbara rolls
556	672	0.8877	barbara streisand	barbara rolls
765	672	0.9998	barbara coloroso	barbara rolls
556	673	0.9845	barbara streisand	barbara shangle
163	673	0.9815	barbara lowell	barbara shangle
556	674	0.998	barbara streisand	barbara sher
163	674	0.9966	barbara lowell	barbara sher
270	674	0.9988	barbara j zitwer	barbara sher
459	674	0.9893	barbara coloroso	barbara sher
765	674	0.9893	barbara coloroso	barbara sher
556	675	0.998	barbara streisand	barbara sher
163	675	0.9966	barbara lowell	barbara sher
270	675	0.9988	barbara j zitwer	barbara sher
459	675	0.9893	barbara coloroso	barbara sher
765	675	0.9893	barbara coloroso	barbara sher
556	676	0.9996	barbara streisand	barbara sinatra
270	676	0.9943	barbara j zitwer	barbara sinatra
163	679	0.9966	barbara lowell	barbara vine
270	679	0.9988	barbara j zitwer	barbara vine
459	679	0.9128	barbara coloroso	barbara vine
556	679	0.983	barbara streisand	barbara vine
765	679	0.9128	barbara coloroso	barbara vine
163	680	0.9815	barbara lowell	barbara walters
270	680	0.9943	barbara j zitwer	barbara walters
459	680	0.9943	barbara coloroso	barbara walters
765	680	0.9943	barbara coloroso	barbara walters
163	681	0.9986	barbara lowell	barbara williams
885	681	0.9999	william barre	barbara williams
496	681	0.9911	mason williams	barbara williams
556	682	1.0	barbara streisand	barbra streisand
451	684	1.0	barry	barry eisler
451	685	1.0	barry	barry elz
451	686	1.0	barry	barry lyga
451	687	1.0	barry	barry miles
451	688	1.0	barry	barry reed
586	689	0.9561	daryl sanders	barry sears
451	689	1.0	barry	barry sears
586	690	0.9561	daryl sanders	barry sears
451	690	1.0	barry	barry sears
170	691	0.9999	mark siegel	barry siegel
197	691	0.9999	mark siegel	barry siegel
263	691	0.9858	kathryn siebel	barry siegel
451	691	1.0	barry	barry siegel
351	694	0.8838	bree barton	barton gellman
885	702	0.9975	william barre	beatriz williams
496	702	0.9911	mason williams	beatriz williams
774	702	0.8353	kathy willis	beatriz williams
